Action,User Firstname,Date,Time
Login, Timothy, 2021-04-21, 09:02:53pm
Logout, Timothy, 2021-04-21, 09:02:58pm
Login, Timothy, 2021-04-21, 09:03:06pm
Logout, Timothy, 2021-04-21, 09:08:50pm
Login, Timothy, 2021-04-21, 09:08:55pm
Login," Timothy"," 2021-04-22"," 08:27:09pm"
Logout," Timothy"," 2021-04-22"," 08:40:54pm"
Login," Timothy"," 2021-04-22"," 08:41:04pm"
Logout," Timothy"," 2021-04-22"," 08:41:56pm"
Logout," "," 2021-04-22"," 08:42:35pm"
Login," Timothy"," 2021-04-22"," 08:44:55pm"
Login," Timothy"," 2021-04-22"," 09:14:29pm"
Logout," Timothy"," 2021-04-22"," 09:14:33pm"
Login," Timothy"," 2021-04-22"," 09:14:42pm"
Logout," Timothy"," 2021-04-22"," 09:17:47pm"
Login," Timothy"," 2021-04-22"," 09:17:58pm"
Logout," Timothy"," 2021-04-22"," 09:18:11pm"
Logout," John"," 2021-04-22"," 09:18:41pm"
Logout," John"," 2021-04-22"," 09:19:38pm"
Login," John"," 2021-04-22"," 09:22:51pm"
Logout," John"," 2021-04-22"," 09:23:34pm"
Login," John"," 2021-04-22"," 09:25:08pm"
Logout," John"," 2021-04-22"," 09:25:28pm"
Login," John"," 2021-04-22"," 09:25:51pm"
Logout," John"," 2021-04-22"," 09:26:10pm"
Logout," Admin"," 2021-04-22"," 09:30:59pm"
Login," Admin"," 2021-04-22"," 09:31:07pm"
Logout," Admin"," 2021-04-22"," 09:31:30pm"
